id,job_title,descr50,job_level,job_grp,vert_grp,notes,del_doc_path,del_doc_name,beroep_cd,code_fnc,schaalsrt,schaalcode,kmrateint,productiv,prodpct,xdefratelv,inttar,exttar,docid,roleid,rolelevel,scalemin,scalemax,wkcp_risk,division,syscreated,syscreator,sysmodified,sysmodifier,sysguid,
1811,KTNB        ,Kế toán nội bộ                                ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,41:25.2,0,41:25.2,0,A999BF39-F1DA-4C26-AA60-A3B9A24BBF25,
1684,KTNL        ,Kế toán thanh toán nhập liệu                 ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,41:05.6,0,41:05.6,0,2977F51F-D5A7-43E7-A732-F55FAE03DF5C,
1423,KTNV        ,Nhân viên kế toán                               ,10,KDTT      ,,,,GR1                                                                                                                             ,,,,,0,0,0,,0,0,,,3,0,0,,101,42:01.6,0,42:01.6,0,B124054A-1431-49CC-B733-96052EEA8659,
1421,KTNH        ,Kế toán thanh toán quốc tế                    ,10,,,,,GR1                                                                                                                             ,,,,,0,0,0,,0,0,,,3,0,0,,101,35:25.2,0,35:25.2,0,6B45C19C-7FB4-4A8D-9907-420ADD317CFD,
1820,KTNH_MN     ,Kế toán Ngân Hàng                              ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,03:07.5,0,03:07.5,0,7EA75EEB-D479-4CAB-ADD2-0DCCBFDE23B8,
1419,KTT         ,Kế toán trưởng                                 ,10,HDQT      ,,,,GR1                                                                                                                             ,,,,,0,0,0,,0,0,,,3,0,0,,101,33:21.0,0,33:21.0,0,A9184189-7C63-43CE-A154-F49413AE7E6A,
1730,KTTDL       ,Kế toán trưởng Đại Lợi                        ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,19:27.4,0,19:27.4,0,AFA95654-4869-429E-999B-9B94A51894C2,
1602,KTT-DR      ,CV Kế toán thuế - đầu ra                      ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,23:31.0,0,23:31.0,0,F0C5445A-EB9F-43D5-9CD2-C439F415EFFB,
1601,KTT-DV      ,CV Kế toán thuế - đầu vào                    ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,22:54.0,0,22:54.0,0,BE0064EC-AAE3-48D6-BBF0-E7204949CAC6,
1722,KTTM        ,Kế toán tiền mặt                              ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,30:40.4,0,30:40.4,0,765CE0ED-4141-4D31-9767-559743FEF071,
1410,KTTT        ,Kế toán thanh toán                             ,10,,,,,GR1                                                                                                                             ,,,,,0,0,0,,0,0,,,3,0,0,,101,42:23.7,0,42:23.7,0,3C1CA817-BC5F-484D-929C-3E082A684A15,
1686,KTTT-HS     ,Kế toán thanh toán lập hồ sơ                 ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,46:21.5,0,46:21.5,0,FD17B9B8-B1DC-47C7-BD6E-15DF85994DED,
1600,KTT-TNCN    ,CV Kế toán thuế - TNCN                         ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,21:57.4,0,21:57.4,0,7EBF3B80-35AC-485D-8EB6-E9D4E8698D07,
1685,KTTT-TN     ,Kế toán thanh toán trong nước                 ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,44:59.4,0,44:59.4,0,58138214-CDA7-42F9-ABF1-D6A6857B3FA3,
1546,KTTTV       ,Kế toán thuế (thời vụ)                       ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,58:27.6,0,58:27.6,0,977DCD1A-6553-4079-AA25-7D1B6D2AA133,
1745,KTTTH DL    ,Kế toán thuế tổng hợp Đại Lợi               ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,21:09.2,0,21:09.2,0,030B73BA-C8AD-419F-9D31-88247D0DD7A0,
